freq,accomunit,unit,geo\TIME_PERIOD	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 
M,BEDRM,PC,FI	52.3 	48.2 	46.5 	53.9 	51 	44.9 	53 	60.2 	62.6 	60.2 	56.5 	52.1 
M,BEDRM,PC,FR	57.4 	54.3 	51.1 	54.1 	55.8 	61.7 	64.4 	72.3 	68.9 	68.4 	70.1 	64.4 e
M,BEDRM,PC,HR	34.3 	30.8 	25.4 	34.2 	35.1 	48.8 	57 	72 	78.4 	83.2 	73.4 	54.6 
M,BEDRM,PC,HU	50.7 	47.2 	38.3 	44.5 	45 	50.5 	54.1 	54 	59.6 	65.9 	56.2 	56.4 
M,BEDRM,PC,IE	72 e	60 e	52 e	59 e	60 e	69 e	80 e	86 e	0 	0 u	0 u	0 u
M,BEDRM,PC,IT	44.1 	44.6 	47.8 	51.9 	49.7 	50.5 	51.1 	68.9 	77.9 	89.9 	62.2 	56 
M,BEDRM,PC,LI	42.7 	39.4 	44.1 	46.5 	40.9 	39.7 	47.2 	52.1 	54 	59.9 	52.7 	36.6 
M,BEDRM,PC,LT	53.7 	50.6 	51.4 	53.1 	55.9 	59.3 e	64.6 e	69.8 e	78.9 e	77.4 e	54.4 e	59.7 e
M,BEDRM,PC,LU	39.19 	40.17 	29.33 	34.22 	37.37 	43.63 	45.14 	46.68 	49.54 	48.73 	46.33 	43.11 
M,BEDRM,PC,LV	37.9 	39.8 	31.2 	33.4 	35 	41.2 	47.5 	51.1 	60.9 	60.6 	48.7 	43 
M,BEDRM,PC,ME	22.3 	17.7 	19.1 	22.7 	27.3 	39.3 	50.2 	57.5 	83.8 	79.2 	59.5 	41.8 
M,BEDRM,PC,MK	23.4 	18.25 	31.03 	30.29 	38.34 	49.87 	58.29 	60.74 	72.89 	67.92 	58.22 	51.9 
M,BEDRM,PC,MT	74.1 	52.2 	47.8 	66.2 	74.2 	79.7 	82.5 	85 	85.2 	88.4 	84.7 	86.6 
M,BEDRM,PC,NL	64.9 	57.2 	53.1 	60.5 	63.9 	73.2 	74.3 	75.9 	73.9 	77.3 	71.3 	71.6 
M,BEDRM,PC,NO	56 	42 	45 	52 	55 	48 	58 	68 	69 	70 	64 	57 
M,BEDRM,PC,PL	48.1 	44.1 	40.6 	48.8 	44.9 	46.4 	54.8 	58.1 	59.4 	63.3 	57.3 	53.3 
M,BEDRM,PC,PT	53.9 	42.8 	40.2 	49 	55.5 	65.4 	70.8 	71 	73.4 	79 	75.7 	69.4 
M,BEDRM,PC,RO	31.2 	28.3 	26.6 	29.3 	26.6 	26.5 	29.8 	: 	24.2 	24.8 	: 	32.2 
M,BEDRM,PC,RS	44 	38.6 	39 	37.7 	36.7 	40.9 	51.1 	47.2 	49.1 	50.3 	49.8 	47.8 
M,BEDRM,PC,SE	57 	45 	43 	51 	52 	51 	59 	63 	70 	68 	66 	67 
M,BEDRM,PC,SI	39.69 	38.23 	35.09 	38.32 	38.35 	46.75 	54.3 	60.16 	62.03 	67.36 	59.97 	51.74 
M,BEDRM,PC,SK	36.29 	30.49 	30.96 	37.79 	32.04 	33.48 	40.4 	42.98 	44.84 	50.47 	42.22 	40.35 
M,BEDRM,PC,XK	21.8 e	23.8 e	25.6 e	19.8 e	14.8 e	22.5 e	25.3 e	25.3 e	30.5 e	34.4 e	26.6 e	24.7 e
